Publication Number,patent_id,cleaned_claim
US8442755,8442755,"1. A system for a motor vehicle including a motor vehicle side door and an outside rear view mirror, the system comprising: a door motor coupled to the motor vehicle side door and configured to selectively prevent movement of the motor vehicle side door toward a fully open position; a camera coupled to the outside rear view mirror and positioned to monitor an area external to the vehicle and adjacent the motor vehicle side door, the camera configured to determine a first distance between the motor vehicle side door and an obstacle detected within the monitored area; a motor controller operatively coupled to the door motor and configured to selectively disable the motor vehicle side door by commanding the door motor to prevent movement of the motor vehicle side door toward the fully open position; and a processor operatively coupled to the camera and to the motor controller, the processor configured to transmit a signal to the motor controller to disable the motor vehicle side door if the first distance is within a first threshold distance of the motor vehicle side door."
US8442755,8442755,"11. A system for a motor vehicle including a motor vehicle side door and an outside rear view mirror, the system comprising: a door motor coupled to the motor vehicle side door and configured to selectively prevent movement of the motor vehicle side door toward a fully open position; a first ultrasonic sensor coupled to the outside rear view mirror and positioned to monitor an area external to the vehicle and adjacent the motor vehicle side door, the first ultrasonic sensor configured to determine a first distance between the motor vehicle side door and an obstacle detected within the monitored area; a motor controller operatively coupled to the door motor and configured to disable the motor vehicle side door by commanding the door motor to prevent movement of the motor vehicle side door toward the fully open position; and a processor operatively coupled to the ultrasonic sensor and to the motor controller, the processor configured to transmit a signal to the motor controller to disable the motor vehicle side door if the first distance is within a first threshold distance of the motor vehicle side door."
US8442755,8442755,"17. A method carried-out by a vehicular system onboard a vehicle including a plurality of motor vehicle side doors and a door motor coupled to the plurality of motor vehicle side doors and configured to selectively prevent movement of each of motor vehicle side doors toward a fully open position, the vehicular system including a motor controller operatively coupled to the door motor, a processor operatively coupled to the motor controller, and at least one obstacle detection device operatively coupled to the processor, the method comprising the steps of: monitoring via the obstacle detection device an area external to the vehicle and adjacent the plurality of vehicle side doors to detect obstacles in the opening paths of the vehicle side doors; determining in the obstacle detection device the distance between at least one of the plurality of motor vehicle side doors and an obstacle detected within the monitored area; and supplying a signal generated by the processor to the motor controller to command the door motor to automatically disable each motor vehicle side door that is within a threshold distance of the obstacle."
US7712819,7712819,"5. A door for a motor vehicle comprising: a supporting framework including an inner side, an opposite outer side, and a through opening located between said inner and outer sides; a supporting element fixedly secured to said outer side of said supporting framework, said supporting element including a cylindrical sleeve defining a seat, said cylindrical sleeve extending through said outer side of said supporting framework toward said inner side thereof, a rear-view mirror secured to said supporting element; an attachment element fixedly connected to said supporting framework and disposed between said supporting element and said through opening, said attachment element having a through hole; a lock for blocking said door in a closing position; and a key assembly operatively connected to said lock and selectively actuated for disabling/enabling opening of said lock from outside the motor vehicle, said key assembly including a casing and a key unit, said casing having a peripheral flange fixed to a face of said attachment element on a side of said attachment element facing towards said inner side of said door to prevent rotation of said casing, said key unit housed within said casing and displaceable with respect to said casing, wherein said casing and said key unit are set apart inwardly from an immediately surrounding portion of said supporting framework and said key assembly is covered towards said supporting framework by said supporting element and is accessible from outside the motor vehicle through said seat without moving said rear-view mirror from a use position, and wherein said cylindrical sleeve of said supporting element extends into said through hole of said attachment element and abuts and substantially entirely covers an outwardly facing end of said casing directly adjacent said peripheral flange."
US7712819,7712819,"1. A door for a motor vehicle comprising: a supporting framework including an inner side, an opposite outer side, and a through opening between said inner and outer sides; a supporting element fixedly secured to said outer side of said supporting framework, said supporting element including a cylindrical sleeve defining a seat; a rear-view mirror secured to said supporting element; an attachment element fixedly connected to said supporting framework between said supporting element and said through opening; a lock for blocking said door in a closing position; and a key assembly operatively connected to said lock and selectively actuated for disabling/enabling opening of said lock from outside the motor vehicle, said key assembly including a casing having a peripheral flange fixed to a face of said attachment element on a side of said attachment element facing towards said inner side of said door and wherein said casing and a key unit are set apart inwardly from an immediately surrounding portion of said supporting framework, said key assembly is covered towards said supporting framework by said supporting element and is accessible from outside the motor vehicle through said seat, wherein said cylindrical sleeve of said supporting element abuts and substantially entirely covers an outwardly facing end of said casing."
US20100082206,20100082206,
US7528704,7528704,"54. A device for preventing injuries or material damage caused by a vehicle door of a stopped or parked vehicle, the device comprising: at least one monitoring unit monitoring an external space; an evaluation unit receiving data provided by said monitoring unit, said evaluation unit containing: means for detecting if a fixed or variable threshold value is undershot and/or for detecting receipt of a signal for unlocking a locking mechanism of the vehicle door; and means for activating an operating mode monitoring an outside door handle of the vehicle door; and means for outputting a warning signal immediately upon a person and/or a corresponding device actuating and/or unlocking the outside door handle of the vehicle door, if an approaching or fixed object above the vehicle is detected in a monitored area by said monitoring unit."
US7528704,7528704,"1. A method for preventing injuries and material damage caused by a vehicle door of a stopped vehicle, which comprises the steps of: providing at least one monitoring unit monitoring an outside area; providing an evaluation unit receiving data from the monitoring unit, in an event of an undershoot of a fixed or variable threshold value being detected by the evaluation unit, or an unlocking signal to unlock a locking mechanism of the vehicle door being detected by the evaluation unit, the evaluation unit: activating a door handle monitoring mode for monitoring an inside door handle of the vehicle door; and initiating an output of a warning signal immediately upon an occupant and/or a corresponding device actuating and/or unlocking the inside door handle of the vehicle door, if a substantially stationary or approaching object being detected in a monitored area by the monitoring unit."
US7528704,7528704,"35. A device for preventing injuries and material damage caused by a vehicle door of a stopped vehicle, the device comprising: at least one monitoring unit monitoring an exterior space; an evaluation unit receiving data provided by said monitoring unit, said evaluation unit having: means for detecting if a fixed or variable threshold value is undershot and/or for detecting receipt of a signal for unlocking a locking mechanism of the vehicle door; and means for activating an operating mode for monitoring an inside door handle of the vehicle door; and means for outputting a warning signal immediately upon an occupant and/or a corresponding device at actuating and/or unlocking the inside door handle of the vehicle door, if an sustantially fixed object or an approaching object is detected in a monitored area by said monitoring unit."
US7528704,7528704,"18. A method for preventing injuries or material damage caused by a vehicle door of a stopped or parked vehicle, which comprises the steps of: providing at least one monitoring unit monitoring an outside area; providing an evaluation unit with data from the monitoring unit, in an event of an undershoot of a fixed or variable threshold value being detected by the evaluation unit or in the event of an unlocking signal to unlock a locking mechanism of the vehicle door being detected by the evaluation unit, the evaluation unit: activating a door handle monitoring mode for monitoring an outside door handle of the vehicle door; and initiating an output of a warning signal immediately after an occupant and/or a corresponding device actuates or unlocks the outside door handle of the vehicle door, if an approaching object or a fixed object above the vehicle being detected in a monitored area by the monitoring unit."
US20070107314,20070107314,
US20090000196,20090000196,
US20130008088,20130008088,
US20120180391,20120180391,
US8373550,8373550,"1. A method of operation of a controller for actuating a door having a motor assist and an inner door switch and an outer door switch that respectively initiate opening of the door when actuated, the method comprising the steps of: operating the controller, the controller uses one or more user-programmable presets that respectively correspond to door operation; activating the motor assist based at least in part on the one or more user-programmable presets to move the door between a closed door position and an open door position; maintaining a desirable current supply to the motor assist when moving the door between the closed door position and the open door position; determining a relative position of the door when moving the door between the closed door position and the open door position; engaging a lockout switch; and overriding the outer door switch in favor of the inner door switch such that the door cannot be opened via the outer door switch when the lockout switch is engaged."
US8373550,8373550,"22. A system for motorizing at least one door of a vehicle relative to a door frame of the vehicle, the system comprising: a drive system coupled at least in part to the door and the door frame of the vehicle, the drive system moves the door between a closed door position and an open door position; a controller coupled at least in part with the drive system to control door operation of the door; a safety mechanism coupled at least in part with the controller, the safety mechanism uses pressure sensing to sense the presence of an obstruction between the door and door frame and to signal the controller upon sensing the obstruction; and wherein the safety mechanism comprises at least one safety sensor adapted to send a door stop signal to the controller upon sensing an obstruction between the sensor and the door frame, the safety sensor comprises a multi-segmented single pole switch having a plurality of sensor segments coupled by electrical connections, and the sensor segments are positioned to sense obstructions to door closings."
US8373550,8373550,"16. A vehicle door having a motor assist comprising: a dedicated power supply connected with respect to the motor assist; a controller connected between the motor assist and the dedicated power supply, the controller maintains a desirable current supply to a motor from the dedicated power supply and determines a relative position of the door, the controller further stops the motor if movement of the door is obstructed or exceeds operation for a preset time threshold; and a memory associated with the controller, the memory stores one or more presets of respective door stopping positions wherein the one or more presets are stored using at least one of an operable handle or a switch associated with the vehicle door."
US8373550,8373550,"35. A method of controlling operation of a door of a vehicle relative to a door frame of the vehicle, comprising: coupling a drive system at least in part to the door and door frame of the vehicle, the drive system adapted to move the door between a closed door position and an open door position; coupling a controller at least in part with the drive system; sensing a position of the door; receiving a door open command or a door close command at the controller; initiating opening or closing of the door at preselected speeds based on the command received; determining the length of time that the open command or close command is continuously received; and directing the drive system to move the door at a relatively slow speed for a predetermined initial time period and to move the door at a relatively faster speed after the predetermined initial time period has ended."
US6321488,6321488,"1. A power sliding door for a motor vehicle, comprising: a door structure constructed and arranged to be mounted on a motor vehicle for movement between closed and opened positions; a drive assembly mounted on said door structure, said drive assembly including a rotatable gear engageable with a gear track provided on the vehicle, said rotatable gear being drivable in a one direction to effect movement of said door towards said opened position and drivable an opposite direction to effect movement of said door structure towards said closed position; a drive shaft coupled with said drive assembly and constructed and arranged to rotatably drive said rotatable gear; a reversible motor mounted on said door structure, said motor being energizable to drive said drive shaft in a first direction to enable said drive shaft to drive said rotatable gear in said one direction, and energizable to drive said drive shaft in a second direction opposite said first direction to enable said drive shaft to drive said rotatable gear in said opposite direction; a clutch assembly constructed and arranged to selectively couple said reversible motor with said drive shaft, so that said reversible motor is coupled to said drive shaft when energized to rotate said drive shaft in either of said first and second directions, and so that said reversible motor is de-coupled from said drive shaft to prevent back-driving of said motor when said door structure is manually moved between said opened and closed positions."
US6321488,6321488,"16. A power sliding door for a motor vehicle, comprising: a door structure constructed and arranged to be mounted on a motor vehicle for movement between closed and opened positions; a drive assembly mounted on said door structure, said drive assembly including a rotatable gear engagable with a gear track provided on the vehicle, said rotatable gear being drivable in a one direction to effect movement of said door structure toward said opened position and drivable in an opposite direction to effect movement of said door structure toward said closed position; a flexible drive shaft coupled with said drive assembly and constructed and arranged to rotatably drive said rotatable gear; a reversible motor mounted on said door structure at a position remote from said drive assembly, said motor being coupled to said drive assembly by said flexible drive shaft, said motor being energizable to drive said drive shaft in a first direction to enable said drive shaft to drive said rotatable gear in said one direction, and energizable to drive said drive shaft in a second direction opposite said first direction to enable said drive shaft to drive said rotatable gear in said opposite direction; said power sliding door further comprising a clutch assembly constructed and arranged to selectively couple said reversible motor with said drive shaft, so that said reversible motor is coupled to said drive shaft when energized to rotate said drive shaft in either of said first and second directions, and so that said reversible motor is de-coupled from said drive shaft to prevent back-driving of said motor when said door structure is manually moved between said opened and closed positions."
US7438346,7438346,"1. A vehicle, comprising: a door frame alongside a position in a passenger compartment of the vehicle normally occupied by an occupant of the vehicle; a door having a first, closed position arranged in said door frame and a second, fully open position outside of said door frame; a door check mechanism which enables said door to be moved from said first position to said second position and from said first position to any one of a plurality of different open positions between said first position and said second position, said door check mechanism comprising a motor arranged to move said door from said first position to said second position and from said first position to any of the plurality of different open positions between said first position and said second position before said door reaches said second position; control means for controlling said motor to initiate an opening movement of said door from said first position and stop said opening movement of said door before said door reaches said second position when said door is in any one of the different open positions between said first position and said second position and maintain said door in said stopped position in the absence of applied force to hold said door in said stopped position; lever means coupled to said door; and rotation means coupled to said motor and said lever means for enabling said motor to cause said lever means to exert a force on said door in order to cause said door to open or close, said rotation means comprising a gear engaging with said motor and a shaft arranged to be rotated by said gear, said lever means comprising lever arms coupled to said shaft and arranged to exert a force on said door upon rotation of said shaft in order to cause said door to open and close."
US7438346,7438346,"11. A method for enabling a door to be opened to any one of a plurality of different positions, comprising: mounting the door in a door frame; coupling a motor to the door via a shaft and a lever mechanism, the lever mechanism including lever arms coupled to the shaft and arranged to exert a force on the door upon rotation of the shaft in order to cause the door to open and close; actuating the motor to move the door from a closed position in the door frame into any one of a plurality of different open positions; and stopping the opening movement of the door when the door is positioned in any one of the plurality of different open positions and maintaining the door in the stopped position in the absence of applied force to hold the door in the stopped position; and enabling the motor to cause the lever mechanism to exert a force on the door upon rotation of the shaft in order to cause the door to open and close, the step of coupling the motor to the door comprising engaging a gear with the motor and arranging the shaft to be rotated by the gear."
US7438346,7438346,"20. A vehicle, comprising: a door frame; a door mounted in said door frame; a door check mechanism for enabling said door to be moved in an opening direction from a closed position in said door frame to any one of a plurality of different open positions; a motor coupled to said door and arranged to move said door from the closed position to any of the open positions; a pressure sensor arranged on the door and having a pressure sensitive surface oriented in the direction of opening of said door whereby pressure is applied to the pressure sensitive surface when a side of said door which is a leading side of said door during opening movement of said door encounters an obstacle to the opening movement of said door; a processor coupled to said sensor and directing said motor to stop the opening movement of said door and maintain said door in its stopped position when pressure above a threshold is applied to said pressure sensitive surface of said pressure sensor; lever means coupled to said door; and rotation means coupled to said motor and said lever means for enabling said motor to cause said lever means to exert a force on said door in order to cause said door to open and close, said rotation means comprising a gear engaging with said motor and a shaft arranged to be rotated by said gear, said lever means comprising lever arms coupled to said shaft and arranged to exert a force on said door upon rotation of said shaft in order to cause said door to open and close."
US7438346,7438346,"23. A vehicle, comprising: a door frame; a door mounted in said door frame; a door check mechanism for enabling said door to be moved from a closed position in said door frame to any one of a plurality of different open positions; a motor coupled to said door and arranged to move said door from the closed position to any of the open positions in which a space between a first lateral edge of said door and an edge of said door frame toward which said first lateral edge of said door moves during closing movement of said door is varied, the space enabling access through said door frame when said door is in an open position; a sensor arranged to detect an object in proximity to or in contact with a second lateral edge of said door on an opposite side of said door from said first lateral edge; a processor coupled to said sensor and arranged to direct said motor to cease the opening movement of said door based on the detection of an object in proximity to or in contact with said second lateral edge of said door; lever means coupled to said door; and rotation means coupled to said motor and said lever means for enabling said motor to cause said lever means to exert a force on said door in order to cause said door to open and close, said rotation means comprising a gear engaging with said motor and a shaft arranged to be rotated by said gear, said lever means comprising lever arms coupled to said shaft and arranged to exert a force on said door upon rotation of said shaft in order to cause said door to open and close."
US7438346,7438346,"25. A method for enabling a door to be opened to any one of a plurality of different positions, comprising: coupling a motor to the door via a shaft and a lever mechanism, the lever mechanism including lever arms coupled to the shaft and arranged to exert a force on the door upon rotation of the shaft in order to cause the door to open and close; arranging the motor to move the door from the closed position to any of a plurality of different laterally open positions in which a space between a first lateral edge of the door and an edge of the door frame toward which the first lateral edge of the door moves during closing movement of the door is varied, the space enabling access through the door frame when the door is in an open position; actuating the motor to move the door from a closed position into an open position; arranging a sensor to detect an object in proximity to or in contact with a second lateral edge of the door on an opposite side of the door from the first lateral edge; directing the motor to stop the opening movement of the door and maintain the door in the stopped position when an object in proximity to or in contact with the second lateral edge of the door is detected by the sensor; and enabling the motor to cause the lever mechanism to exert a force on the door upon rotation of the shaft in order to cause the door to open and close, the step of coupling the motor to the door comprising engaging a gear with the motor and arranging the shaft to be rotated by the gear."
US20060254142,20060254142,
US20050057047,20050057047,
US7091836,7091836,"1. A motor vehicle door locking system comprising: at least one electrically triggered motor vehicle door lock; a first actuating means associated with the motor vehicle door lock for triggering an unlocking or opening of the motor vehicle door lock; and a second actuating means associated with the motor vehicle door lock, wherein the motor vehicle door lock can be unlocked or opened only with simultaneous or successive actuation of the two actuating means."
US7091836,7091836,"28. Door handle for a motor vehicle door comprising: a first actuating means for unlocking or opening of the motor vehicle door lock, wherein actuation of the first actuating means is electrically detectable; and a second actuating means which is coupled to the first actuating means such that the motor vehicle door lock is unlocked or opened only with simultaneous or successive actuation of the first and second actuating means."
US20070146120,20070146120,
US8284022,8284022,"1. Motor vehicle door arrangement, comprising: at least one motor vehicle door, a drive for motorized movement of the motor vehicle door from the closed position into an open position in an opening process and from the open position into a closed position in a closing process, control means for triggering the drive in an enhanced actuation that automatically carries out at least one of said opening process and said closing process at least in response to a predetermined user activity, the control means having a vehicle located part and a mobile part, an electronic memory associated with the control means, the electronic memory being settable in response to activation of the control means and being located in the mobile part of the control means which a user is able to carry, and a wireless transmission link for communicating the vehicle located part of the control means with the mobile part of the control means, wherein the control means is movable into an activated state and into a deactivated state with respect to enhanced actuation, the control means being movable into the activated state by manually actuating said mobile part, wherein the mobile part is activatable beforehand when the mobile part is out of the range of the vehicle located part of the control means, wherein the vehicle located part of the control means is able to read out the electronic memory located in the mobile part of the control means via the wireless transmission link as the user with the mobile part approaches the vehicle so as to release or block enhanced actuation depending on the read out from the memory, and wherein enhanced actuation is triggerable by the predetermined user activity without the necessity of manual actuation of the mobile part solely when the memory has been set beforehand so as to place the mobile part of the control means is in the activated state, the control means being shifted into the deactivated state after carrying out of the enhanced actuation and wherein the control means, if not deactivated due to carrying out of the enhanced actuation, is adapted to remain in the activated state only for a predetermined time and after expiration of the predetermined time to drop back into the deactivated state."
US7669914,7669914,"1. A rear door for fitting to a motor vehicle having a rear chassis with two rear side rails and a rear insurance impact absorber system configured to prevent the rear chassis of the vehicle from deforming plastically when the rear insurance impact absorber system absorbs an insurance impact, the insurance impact being an impact of up to about 15 km/h against a stationary wall or an impact of up to about 8 km/h against a pole, wherein the rear door carries the rear insurance impact absorber system, and the absorber system comprises: a transverse element extending transversely over a distance greater than or equal to the distance between the two side rails, the transverse element being shaped to deform by bending between the two rear side rails of the vehicle in the event of an insurance impact; and two lateral absorber elements, each lateral absorber element being located in register with one of the side rails between the transverse element and one of the side rails, and each lateral absorber element being provided with a centering finger designed to co-operate with a complementary orifice formed in the corresponding side rail."
US7669914,7669914,"7. A motor vehicle including a rear chassis with two rear side rails and a rear door, wherein the rear door carries a rear insurance impact absorber system configured to prevent the rear chassis of the vehicle from deforming plastically when the rear insurance impact absorber system absorbs an insurance impact, the insurance impact being an impact of up to about 15 km/h against a stationary wall or an impact of up to about 8 km/h against a pole, and wherein the rear insurance impact absorber system comprises: a transverse element extending transversely over a distance greater than or equal to the distance between the two side rails, the transverse element being shaped to deform by bending between the two rear side rails of the vehicle in the event of an insurance impact; and two lateral absorber elements, each lateral absorber element being located in register with one of the side rails between the transverse element and one of the side rails, and each lateral absorber element being provided with a centering finger designed to co-operate with a complementary orifice formed in the corresponding side rail."
US20080030045,20080030045,
US20090051192,20090051192,
US7500711,7500711,"1. A passenger vehicle comprising: a vehicle body having a first pillar, a second pillar, a roof member and a floor member defining a door opening therebetween; a lateral side entry door pivotally connected to the vehicle body for enclosing the door opening, the side entry door moving along an operating path and having a closed position and an open position; a motor oriented in the side entry door; a lead screw mounted in the side entry door and connected to the motor to be driven by the motor; and a link connected to the lead screw and connected to the vehicle body adjacent to the door opening; wherein the motor drives the lead screw to translate the link to open and close the side entry door."
US7500711,7500711,"19. An automotive vehicle comprising: a vehicle body having a first pillar, a second pillar, a roof member and a floor member defining a door opening therebetween; a side entry door pivotally connected to the vehicle body for enclosing the door opening, the side entry door moving along an operating path and having a closed position and an open position; a motor oriented in the side entry door; a transmission mounted on the side entry door and connected to the motor to be driven by the motor; and a check strap mounted on the vehicle body and pivotally connected to the transmission, the check strap having at least one detent provided therein to cooperate with at least one roller for manual translation of the side entry door, the check strap maintaining the side entry door in an intermediate position between the open position and the closed position; wherein the motor drives the transmission to translate the check strap to open and close the side entry door."
US7500711,7500711,"20. A power door assembly for a vehicle, comprising: a side entry door having a first hinge portion to be pivotally connected to a vehicle body for movement along an operating path for opening the side entry door from the door opening and closing the side entry door to the door opening; a motor oriented in the side entry door; a lead screw mounted in the side entry door and connected to the motor to be driven by the motor; and a link connected to the lead screw and adapted to be connected to the vehicle body adjacent to the door opening; wherein the motor drives the lead screw to translate the link to open and close the side entry door."
US9676256,9676256,"1. A power assist device for a vehicle, comprising: a door pivotally coupled to a vehicle body, the door having a door panel; a hinge assembly coupled between the vehicle body and the door to define a hinge axis for the door; a motor coupled to the door panel having a drive shaft extending outwardly therefrom; a first spool disposed on the drive shaft for rotation therewith as powered by the motor; a second spool mounted on the hinge assembly at a spool axle; and a cable operably coupling the first spool to the second spool, wherein the motor is configured to drive the first spool in a rotational movement and the cable is configured to translate the rotational movement of the first spool to the second spool, and further wherein the movement of the second spool drives an opening and closing movement of the door at the hinge axis."
US9676256,9676256,"7. A power assist device for a vehicle, comprising: a motor mounted to a vehicle door and configured to rotationally drive a first spool; a second spool mounted on a hinge assembly of the door; and a cable coupled between the first and second spools to translate rotational movement of the first spool to the second spool for further driving movement of the door at the hinge assembly by the second spool."
US9676256,9676256,"15. A power assist device for a vehicle, comprising: a door pivotally coupled to a vehicle body at a hinge assembly; a motor mounted within an interior of the door having a first spool; a second spool operably coupled to the hinge assembly; and a cable coupled between the first and second spools, wherein the motor rotationally drives the first spool for translation to a rotation of the second spool by the cable, thereby providing movement of the door at the hinge assembly by the second spool."
US20040055110,20040055110,
US6793268,6793268,"1. A door assembly for a motor vehicle including an aperture formed therein, a portion of the periphery of the aperture being defined by an upper horizontal channel, a lower horizontal channel, and a vertical body pillar positioned between ends of the upper and lower horizontal channels, the door assembly comprising: a door moveable between a closed position substantially covering the aperture and an open position substantially clearing the aperture; an upper hinge assembly comprising a substantially elongated lever including a first pivot attached to the door and a second pivot attached to the body pillar the vehicle; and a lower hinge assembly comprising a lever including a first pivot attached to the door and a second pivot attached to the lower horizontal channel; wherein the upper and lower hinge assemblies provide an arcuate path movement of the door along the length of the vehicle."
US6793268,6793268,"9. A motor vehicle comprising: a body portion including at least one aperture formed therein, the aperture periphery being partially defined by an upper horizontal channel, a lower horizontal channel, and a vertical body pillar; at least one door assembly including a door moveable between a closed position substantially covering the aperture and an open position substantially clearing the aperture; an upper hinge assembly comprising a substantially elongated lever including a first pivot operably attached to the door and a second pivot operably attached to the vertical body pillar; and a lower hinge assembly comprising a substantially elongated lever including a first pivot operably attached to the door and a second pivot operably attached to the lower horizontal channel, wherein the upper and lower hinge assemblies provide an arcuate path movement of the door along the length of the vehicle."
US20030101781,20030101781,
